ags,gdp_nominal_1992,gdp_nominal_1994,gdp_nominal_1995,gdp_nominal_1996,gdp_nominal_1997,gdp_nominal_1998,gdp_nominal_1999,gdp_nominal_2000,gdp_nominal_2001,gdp_nominal_2002,gdp_nominal_2003,gdp_nominal_2004,gdp_nominal_2005,gdp_nominal_2006,gdp_nominal_2007,gdp_nominal_2008,gdp_nominal_2009,gdp_nominal_2010,gdp_nominal_2011,gdp_nominal_2012,gdp_nominal_2013,gdp_nominal_2014,gdp_nominal_2015,gdp_nominal_2016,wage_nominal2000,wage_nominal2001,wage_nominal2002,wage_nominal2003,wage_nominal2004,wage_nominal2005,wage_nominal2006,wage_nominal2007,wage_nominal2008,wage_nominal2009,wage_nominal2010,wage_nominal2011,wage_nominal2012,wage_nominal2013,wage_nominal2014,wage_nominal2015,wage_nominal2016,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,relig_cath_2011,relig_prot_2011,relig_other_2011,unem_tot_2011,unem_foreign_2011,unem_handicapped_2011,unem_age_15_20_2011,unem_age_15_25_2011,unem_age_55_65_2011,unem_longterm_2011,unem_rate_dependent_2011,unem_rate_tot_2011,unem_rate_male_2011,unem_rate_female_2011,unem_rate_foreign_2011,unem_rate_age_15_25_2011
08226,9247.156,10099.572,10755.733,11148.836,10986.469,11032.468,11498.25,11790.472,12650.008,12900.622,12558.455,12674.687,13215.105,13862.778,14747.177,15102.151,14770.273,15435.534,16209.413,15603.957,16113.055,16406.457,17215.736,17902.935,5899.635,6078.572,6110.329,6115.474,6172.26,6219.211,6323.48,6588,6899.962,6723.997,6937.067,7193.403,7481.625,7750.282,7892.866,8295.065,8683.54,536281,537625,525204,527287,531013,534729,541859,544400,0.3353121899091672,0.35485268300129763,0.3098332188382566,10625,2141,1169,111,826,2114,3311,4.3,3.8,3.8,3.9,8.9,2.8
08231,3308.41,3339.518,3295.574,3311.227,3329.535,3319.553,3392.843,3514.964,3544.597,3504.001,3490.048,3604.293,3708.784,3878.805,4022.813,4104.678,3935.604,4388.096,4484.95,4798.656,5072.784,4940.951,4971.439,4942.654,2166.148,2158.262,2150.493,2150.139,2148.246,2138.971,2152.526,2192.838,2264.332,2214.129,2283.361,2377.365,2482.887,2602.095,2651.228,2682.688,2776.27,119788,119781,115211,116425,117754,119291,122247,123493,0.26056935084913163,0.3409025355953536,0.39852811355551476,4675,1589,369,89,430,821,1686,8.8,7.9,7.7,8,14.9,6.1
08235,2611.932,2753.977,2793.002,2750.764,2741.251,2792.209,2961.48,3034.402,3039.678,3079.254,3132.551,3195.274,3305.044,3447.985,3548.536,3590.391,3358.415,3574.155,3820.439,3976.562,3942.275,4065.204,4172.689,4305.789,1621.635,1644.489,1660.794,1673.772,1665.359,1648.243,1683.539,1716.511,1774.688,1745.774,1818.474,1904.496,1994.389,2046.401,2102.46,2168.762,2265.249,158055,157271,150990,150709,151461,152766,155359,155960,0.1912901859011705,0.5019993644404428,0.3067170700704412,3167,645,292,49,306,757,1046,4.3,3.9,3.7,4.1,7.7,2.9
08236,3140.098,3212.99,3372.487,3502.528,3515.037,3706.496,3858.899,3915.704,3961.306,4048.834,4103.648,4277.236,4471.229,4588.79,4693.296,4648.835,4131.081,4533.403,4937.798,4964.671,5000.14,5285.26,5620.344,5728.507,2137.01,2207.948,2191.723,2191.029,2210.912,2226.04,2273.644,2347.566,2413.242,2284.232,2333.91,2492.184,2580.25,2660.681,2747.217,2893.803,3040.139,194554,193913,191461,192092,192811,193728,196066,197246,0.2168180440440231,0.48012061414969115,0.3030561158899213,2976,621,252,58,315,725,882,3.3,2.9,2.8,3,6.7,2.6
08237,2214.255,2357.846,2483.552,2587.81,2661.762,2812.485,2855.881,3035.435,2982.638,2930.654,2947.011,2964.425,3091.958,3407.38,3630.536,3732.927,3203.802,3663.999,3861.44,3801.583,3836.409,4068.046,4222.12,4352.344,1693.657,1721.481,1724.075,1717.528,1718.979,1719.939,1789.265,1854.392,1915.498,1825.902,1919.171,2000.11,2044.912,2080.595,2146.386,2208.536,2278.035,120637,119878,115220,115055,114793,115147,116233,116692,0.30739913600579444,0.4359894113284989,0.2566114526657067,2389,351,260,36,246,598,781,4.1,3.7,3.3,4.1,7.9,2.9
08311,5742.435,6237.424,6401.321,6544.396,6426.089,7126.293,6996.532,7164.959,7381.769,8034.017,7713.947,7743.627,7947.825,8153.988,8544.047,8618.421,8799.623,9165.132,9531.125,9692.832,10073.038,10528.718,10846.417,11263.543,4003.769,4158.732,4279.904,4287.923,4277.358,4359.574,4439.383,4565.584,4726.916,4882.993,5000.02,5166.361,5407.925,5595.848,5820.4,6115.395,6387.139,221924,224191,214234,218043,220286,222203,226393,227590,0.3805837006506764,0.2424437575133093,0.3769773121911195,6342,1570,400,49,316,1004,1767,6.7,6.1,6.8,5.4,12.6,2.5
08315,3818.946,4096.476,4203.844,4273.861,4222.171,4361.407,4456.627,4681.771,4908.351,4872.207,4955.558,4989.194,5003.998,5302.407,5512.899,5649.853,5366.444,5786.567,6175.95,6355.622,6658.205,7015.755,7237.868,7510.11,2466.483,2518.532,2553.79,2576.946,2593.289,2527.828,2575.746,2651.577,2761.754,2766.217,2878.581,3052.81,3199.26,3344.294,3471.109,3604.286,3789.836,250418,251266,246437,247711,250137,252749,257343,260416,0.47873067481933507,0.262329091195846,0.2589321460201148,4532,686,394,63,336,989,1294,3.9,3.5,3.6,3.4,8.4,2.1
08316,2319.006,2445.169,2579.817,2641.521,2689.493,2746.199,2946.74,3105.712,3111.472,3095.212,3070.983,3187.272,3230.572,3388.458,3546.146,3745.419,3439.333,3723.557,3978.238,4044.7,4212.901,4478.848,4824.565,4880.879,1632.361,1686.423,1685.325,1667.584,1661.379,1655.755,1708.028,1754.867,1824.481,1782.788,1858.769,1954.651,2043.339,2137.248,2219.401,2332.034,2463.332,157791,158342,156723,157399,158177,159708,162082,163251,0.4598953040210159,0.31047023706800125,0.22963445891098286,2726,435,198,38,243,645,546,3.6,3.2,3.2,3.1,8.5,2.3
08317,8670.776,9031.851,9613.98,9817.559,9921.032,10101.795,10777.113,11266.241,11551.751,11780.446,11845.54,12281.416,12469.642,13161.627,13850.062,14088.084,13066.459,13705.47,14654.573,14250.012,14651.919,15241.549,15845.762,16583.494,5953.661,6147.56,6189.005,6251.437,6257.423,6217.117,6355.781,6540.986,6771.422,6604.315,6890.885,7163.032,7410.726,7635.702,7913,8256.425,8568.151,417267,417513,410408,411700,412678,415639,420106,423359,0.5288150715988708,0.2643039283084919,0.2068810000926373,8160,1401,503,102,713,1910,2734,4,3.6,3.3,3.9,10.6,2.4
08325,3075.337,3239.567,3234.58,3343.383,3407.126,3534.085,3742.747,3917.322,4075.117,4035.728,4035.599,4076.222,4141.7,4279.707,4496.525,4619.493,4143.145,4580.796,4809.041,4964.502,5084.574,5381.206,5701.716,5776.19,2018.595,2099.112,2076.827,2094.921,2099.76,2094.313,2148.236,2225.286,2293.736,2179.211,2298.552,2444.469,2487.638,2573.293,2642.836,2773.914,2874.59,140307,139316,136049,135553,135319,135912,137500,138327,0.4925226591636809,0.2921621641424688,0.21530784955927285,2274,391,241,50,222,488,710,3.4,3,2.7,3.3,8.2,2.2
08326,4446.918,4421.164,4536.729,4734.69,4819.017,4959.385,5095.035,5352.361,5542.148,5398.1,5428.468,5527.943,5528.264,5903.1,6139.156,6399.27,5719.085,6210.041,6608.747,6738.5,6880.879,7410.483,7767.297,7806.882,3037.061,3160.828,3160.783,3158.212,3151.129,3153.316,3233.779,3348.047,3416.42,3320.735,3472.195,3629.493,3706.753,3795.178,4097.439,4291.163,4419.172,207259,206535,203978,204585,205090,206116,209648,210084,0.46337397716297246,0.2619688479018665,0.27465717493516106,4068,858,435,87,403,835,1333,4.1,3.7,3.5,3.9,7.9,2.8
