GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
05711;Bielefeld, kreisfreie Stadt;323084;323270;327199;328314;328864;329782;333090;333451
05754;Gütersloh, Landkreis;353514;353766;350814;351624;352334;354463;360642;361828
05758;Herford, Landkreis;250247;249020;249947;249147;248988;249219;252122;251074
05762;Höxter, Landkreis;148470;147140;144891;143709;142788;142770;144010;141855
05766;Lippe, Landkreis;353007;351158;347729;346496;345374;345127;350750;348933
05770;Minden-Lübbecke, Landkreis;315784;314153;310932;309990;309356;309216;313050;311866
05774;Paderborn, Landkreis;299106;299816;295614;296135;296688;299071;304332;305198
05911;Bochum, kreisfreie Stadt;376319;374737;362585;362213;361734;361876;364742;364920
05913;Dortmund, kreisfreie Stadt;581308;580444;571403;572087;575944;580511;586181;585813
05914;Hagen, kreisfreie Stadt;190121;188529;187333;186243;185996;186716;189044;188266
05915;Hamm, kreisfreie Stadt;181741;181783;176474;176440;176048;176580;179397;179571
05916;Herne, kreisfreie Stadt;165632;164762;154887;154563;154417;154608;155851;156774
05954;Ennepe-Ruhr-Kreis;333729;331575;325145;324223;322731;322916;325954;325374
05958;Hochsauerlandkreis;269927;267601;265199;263720;261999;261561;263762;262269
05962;Märkischer Kreis;434031;430965;422614;419976;416240;413820;416171;414886
05966;Olpe, Landkreis;139666;138961;136144;135523;134947;134759;136365;134983
05970;Siegen-Wittgenstein, Landkreis;284405;282681;276227;275594;274904;275909;280800;277933
05974;Soest, Landkreis;305097;304167;296540;296029;294971;296742;302995;301655
05978;Unna, Landkreis;414056;411806;394873;392940;391622;391774;396035;393869
06411;Darmstadt, kreisfreie Stadt;143332;144402;145845;147925;149743;151879;155353;157437
06412;Frankfurt am Main, kreisfreie Stadt;671927;679664;676533;687775;701350;717624;732688;736414
06413;Offenbach am Main, kreisfreie Stadt;118770;120435;114855;116945;119203;120988;123734;124589
06414;Wiesbaden, kreisfreie Stadt;277493;275976;270952;272636;273871;275116;276218;277619
06431;Bergstraße, Landkreis;262796;262650;261158;261695;262322;263822;266928;267935
06432;Darmstadt-Dieburg, Landkreis;288918;289199;283465;284413;285407;287966;292773;294744
06433;Groß-Gerau, Landkreis;253599;254887;252770;254883;257301;260793;266042;269045
06434;Hochtaunuskreis;226290;227425;226964;228098;229167;230798;233427;234991
06435;Main-Kinzig-Kreis;407022;407234;401823;403134;404995;407619;411956;416715
06436;Main-Taunus-Kreis;226647;227398;224823;226113;228021;229976;232848;235708
06437;Odenwaldkreis;97502;97032;96785;96648;96201;96082;97000;96473
06438;Offenbach, Landkreis;337163;338061;334019;336265;338300;341669;347357;349982
06439;Rheingau-Taunus-Kreis;183303;183125;180506;180911;181190;182117;184114;185668
06440;Wetteraukreis;298179;298015;293113;293940;295408;297369;301931;303914
06531;Gießen, Landkreis;255765;256473;252587;253041;253820;259834;262505;265699
06532;Lahn-Dill-Kreis;254878;253553;252899;252106;251327;251440;253167;254074
06533;Limburg-Weilburg, Landkreis;171487;170714;170471;169904;169964;170385;171922;172120
06534;Marburg-Biedenkopf, Landkreis;251150;251080;241574;241279;241656;241598;245241;245013
06535;Vogelsbergkreis;110989;109451;107994;106947;106383;105763;107256;106737
06611;Kassel, kreisfreie Stadt;194774;195530;191854;192874;194087;194747;197984;199062
06631;Fulda, Landkreis;217759;217255;215945;216093;216314;217326;220132;221170
06632;Hersfeld-Rotenburg, Landkreis;122812;122233;120776;120165;119651;119394;121166;121037
06633;Kassel, Landkreis;237973;236986;234680;234206;233352;233451;235813;236905
06634;Schwalm-Eder-Kreis;183714;182622;181327;180279;179429;179466;180310;181105
06635;Waldeck-Frankenberg, Landkreis;163129;161871;158210;157293;156607;156460;157592;157967
06636;Werra-Meißner-Kreis;104580;103750;101843;100913;100356;100206;100715;100965
07111;Koblenz, kreisfreie Stadt;106445;106417;107954;109779;110643;111434;112586;113605
07131;Ahrweiler, Landkreis;128063;127443;125951;125837;126102;126643;127770;128455
07132;Altenkirchen (Westerwald), Landkreis;132873;131952;129962;129166;128373;128228;129171;128961
07133;Bad Kreuznach, Landkreis;155842;155544;155404;155306;155297;155944;156821;157392
07134;Birkenfeld, Landkreis;84201;83243;82323;81135;80673;80591;80615;80799
07135;Cochem-Zell, Landkreis;63884;63409;63890;63475;63202;62041;62391;61864
07137;Mayen-Koblenz, Landkreis;211079;210269;210246;210035;209785;210441;211925;212968
07138;Neuwied, Landkreis;181492;180995;180497;179812;179454;179317;180655;181537
07140;Rhein-Hunsrück-Kreis;102878;102145;101639;101002;100770;101945;102529;103026
07141;Rhein-Lahn-Kreis;124474;123601;122609;121838;121375;121487;123543;122553
07143;Westerwaldkreis;199480;198580;199691;198852;198704;199131;200302;201027
07211;Trier, kreisfreie Stadt;104587;105260;106284;106544;107233;108472;114914;110111
07231;Bernkastel-Wittlich, Landkreis;111543;111073;112308;110833;110643;110981;111828;112006
07232;Eifelkreis Bitburg-Prüm;94394;94008;95751;95946;96158;96408;97180;98021
07233;Vulkaneifel, Landkreis;61789;61267;61533;61073;60765;60775;60794;60757
07235;Trier-Saarburg, Landkreis;141481;141646;142494;143893;144337;145227;147999;147833
07311;Frankenthal (Pfalz), kreisfreie Stadt;46874;46793;46617;47035;47332;47724;48363;48445
07312;Kaiserslautern, kreisfreie Stadt;99275;99184;96963;97112;97162;97382;98520;99302
07313;Landau in der Pfalz, kreisfreie Stadt;42994;43615;43476;43641;43825;44465;45362;46006
07314;Ludwigshafen am Rhein, kreisfreie Stadt;163340;164351;158637;160179;161518;163832;164718;166621
07315;Mainz, kreisfreie Stadt;197778;199237;201002;202756;204268;206991;209779;213528
07316;Neustadt an der Weinstraße, kreisfreie Stadt;53525;52855;52322;52268;52400;52564;52999;53209
07317;Pirmasens, kreisfreie Stadt;40808;40384;40655;40267;40101;40046;40125;40416
07318;Speyer, kreisfreie Stadt;49811;49857;49712;49764;49740;49855;50284;50551
07319;Worms, kreisfreie Stadt;81784;81736;79526;79727;80296;81010;82102;82595
07320;Zweibrücken, kreisfreie Stadt;34109;33944;34161;34064;34084;34011;34260;34428
07331;Alzey-Worms, Landkreis;124758;124760;125109;125173;125213;125998;127274;128197
07332;Bad Dürkheim, Landkreis;133052;132757;130920;130927;131041;131530;132203;132960
07333;Donnersbergkreis;76571;75878;75822;75508;75192;74962;75230;75203
07334;Germersheim, Landkreis;124982;124838;124294;124889;125434;126266;127303;128205
07335;Kaiserslautern, Landkreis;106149;105428;104910;104443;104117;104288;104966;105504
07336;Kusel, Landkreis;73306;72602;72458;71766;71098;70883;70997;70899
07337;Südliche Weinstraße, Landkreis;109133;109002;108300;108752;109026;109735;110526;110885
07338;Rhein-Pfalz-Kreis;148733;148475;147341;148079;149068;150051;151546;153043
07339;Mainz-Bingen, Landkreis;201583;202310;201264;202222;203338;204514;208749;209184
07340;Südwestpfalz, Landkreis;99605;98887;98008;97180;96599;96410;96474;95957
08111;Stuttgart, kreisfreie Stadt;601646;606588;591015;597939;604297;612441;623738;628032
08115;Böblingen, Landkreis;371616;371396;364458;367208;370392;374279;381281;385888
08116;Esslingen, Landkreis;514109;514830;504961;508577;512279;516779;524127;528792
08117;Göppingen, Landkreis;253522;252548;247194;247835;248813;250117;252749;254618
08118;Ludwigsburg, Landkreis;516874;517985;512086;516748;521633;526377;534074;537902
08119;Rems-Murr-Kreis;415696;415448;407150;408827;411025;414016;419456;422698
08121;Heilbronn, kreisfreie Stadt;122415;122879;116716;117531;118122;119841;122567;123771
08125;Heilbronn, Landkreis;329054;328364;323168;324543;326035;329250;334388;337571
08126;Hohenlohekreis;109028;108913;107200;107498;107866;108816;110181;110689
08127;Schwäbisch Hall, Landkreis;188694;188420;186427;186928;187682;188974;191614;192958
08128;Main-Tauber-Kreis;134211;133351;130431;129842;129857;130299;132181;132274
08135;Heidenheim, Landkreis;131854;131116;127691;127608;127947;128894;130527;131498
08136;Ostalbkreis;312129;310733;306425;306484;306933;308205;312650;311587
08211;Baden-Baden, kreisfreie Stadt;54494;54445;52424;52585;53012;53342;54160;54307
08212;Karlsruhe, kreisfreie Stadt;291959;294761;291995;296033;299103;300051;307755;309999
08215;Karlsruhe, Landkreis;431606;432271;424510;427106;429186;431315;435841;440337
08216;Rastatt, Landkreis;226912;226789;222201;222472;223311;224687;227474;228907
08221;Heidelberg, kreisfreie Stadt;146466;147312;148415;150335;152113;154715;156267;159914
08222;Mannheim, kreisfreie Stadt;311969;313174;291458;294627;296690;299844;305780;304781
08225;Neckar-Odenwald-Kreis;147782;147006;142435;141847;141584;141651;142936;143278
