,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
01051006, Barlt,24 ,0 ,2 ,7 ,5 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
01051008, Bergewöhrden,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051010, Brickeln,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051011," Brunsbüttel, Stadt",580 ,22 ,86 ,147 ,80 ,35 ,1 ,4 ,7 ,4 ,156 ,5 ,26 ,69 ,51 ,3 ,0 ,0 ,1 ,0 ,424 ,16 ,60 ,78 ,29 ,31 ,1 ,3 ,6 ,4 
01051012, Buchholz,27 ,1 ,3 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051013, Büsum,202 ,5 ,20 ,65 ,37 ,14 ,0 ,2 ,2 ,2 ,90 ,2 ,11 ,38 ,27 ,5 ,0 ,1 ,2 ,2 ,112 ,3 ,9 ,28 ,10 ,9 ,0 ,1 ,1 ,0 
01051014, Büsumer Deichhausen,9 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051015, Bunsoh,26 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
01051016, Burg (Dithmarschen),202 ,6 ,26 ,52 ,30 ,7 ,0 ,0 ,2 ,1 ,50 ,1 ,8 ,21 ,15 ,0 ,0 ,0 ,0 ,0 ,152 ,5 ,17 ,32 ,15 ,7 ,0 ,0 ,2 ,1 
01051017, Busenwurth,11 ,0 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051019, Dellstedt,35 ,1 ,4 ,8 ,5 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,23 ,1 ,4 ,2 ,2 ,1 ,0 ,0 ,0 ,0 
01051020, Delve,22 ,1 ,3 ,9 ,8 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051021, Diekhusen-Fahrstedt,18 ,2 ,4 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051022, Dingen,14 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051023, Dörpling,26 ,1 ,3 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051024, Eddelak,57 ,2 ,10 ,9 ,4 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,2 ,6 ,7 ,4 ,1 ,0 ,0 ,0 ,0 
01051026, Eggstedt,28 ,1 ,4 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,3 ,9 ,7 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051027, Elpersbüttel,20 ,0 ,2 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051028, Epenwöhrden,24 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051030, Fedderingen,10 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051032, Frestedt,8 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051033, Friedrichsgabekoog,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051034, Friedrichskoog,86 ,1 ,9 ,34 ,22 ,2 ,0 ,0 ,0 ,0 ,38 ,1 ,5 ,16 ,13 ,0 ,0 ,0 ,0 ,0 ,48 ,0 ,4 ,17 ,9 ,1 ,0 ,0 ,0 ,0 
01051035, Gaushorn,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051036, Glüsing,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051037, Großenrade,15 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051038, Groven,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051039, Gudendorf,9 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051043, Hedwigenkoog,7 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051044," Heide, Stadt","1,268 ",53 ,236 ,257 ,119 ,118 ,2 ,13 ,18 ,7 ,260 ,8 ,48 ,82 ,46 ,14 ,0 ,1 ,4 ,2 ,"1,008 ",45 ,187 ,175 ,72 ,104 ,2 ,12 ,14 ,5 
01051045, Hellschen-Heringsand-Untersch.,5 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051046, Helse,21 ,1 ,4 ,8 ,3 ,2 ,0 ,0 ,1 ,0 ,9 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,3 ,4 ,1 ,1 ,0 ,0 ,1 ,0 
01051047, Hemme,21 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051048, Hemmingstedt,109 ,3 ,15 ,32 ,20 ,4 ,0 ,0 ,1 ,0 ,50 ,2 ,8 ,20 ,15 ,1 ,0 ,0 ,0 ,0 ,60 ,2 ,7 ,12 ,5 ,3 ,0 ,0 ,1 ,0 
01051049, Hennstedt,75 ,3 ,9 ,16 ,10 ,1 ,0 ,0 ,0 ,0 ,26 ,1 ,4 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,49 ,3 ,5 ,8 ,4 ,0 ,0 ,0 ,0 ,0 
01051050, Hillgroven,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051051, Hochdonn,33 ,1 ,3 ,9 ,6 ,1 ,0 ,0 ,0 ,0 ,16 ,1 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
01051052, Hövede,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051053, Hollingstedt,10 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051054, Immenstedt,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051057, Kaiser-Wilhelm-Koog,12 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051058, Karolinenkoog,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051060, Kleve,11 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051061, Krempel,32 ,1 ,4 ,8 ,5 ,2 ,0 ,0 ,0 ,0 ,9 ,1 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,23 ,1 ,2 ,5 ,2 ,1 ,0 ,0 ,0 ,0 
01051062, Kronprinzenkoog,24 ,1 ,2 ,12 ,6 ,1 ,0 ,0 ,1 ,1 ,15 ,1 ,2 ,8 ,5 ,1 ,0 ,0 ,1 ,1 ,9 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051063, Krumstedt,12 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051064, Kuden,14 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051065, Lehe,36 ,1 ,7 ,13 ,8 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,5 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
01051067, Lieth,13 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051068, Linden,26 ,0 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
01051069, Lohe-Rickelshof,50 ,1 ,5 ,9 ,6 ,2 ,0 ,0 ,0 ,0 ,20 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051071, Lunden,128 ,9 ,28 ,25 ,12 ,2 ,1 ,1 ,0 ,0 ,30 ,1 ,9 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,98 ,8 ,18 ,16 ,7 ,2 ,1 ,1 ,0 ,0 
01051072," Marne, Stadt",277 ,8 ,39 ,68 ,40 ,12 ,0 ,1 ,0 ,0 ,82 ,2 ,14 ,35 ,24 ,1 ,0 ,0 ,0 ,0 ,194 ,6 ,25 ,33 ,17 ,10 ,0 ,1 ,0 ,0 
01051073, Marnerdeich,19 ,2 ,3 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051074," Meldorf, Stadt",307 ,10 ,40 ,72 ,42 ,18 ,0 ,1 ,3 ,2 ,93 ,2 ,18 ,35 ,24 ,3 ,0 ,1 ,1 ,1 ,214 ,8 ,22 ,37 ,18 ,15 ,0 ,1 ,2 ,1 
01051075, Neuenkirchen,30 ,1 ,5 ,9 ,5 ,1 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
01051076, Neufeld,18 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051077, Neufelderkoog,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051078, Nindorf,26 ,0 ,1 ,7 ,6 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
01051079, Norddeich,13 ,0 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051080, Norderheistedt,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051081, Norderwöhrden,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051082, Nordhastedt,93 ,2 ,9 ,22 ,11 ,5 ,0 ,0 ,1 ,1 ,37 ,1 ,6 ,11 ,5 ,1 ,0 ,0 ,0 ,0 ,56 ,0 ,3 ,11 ,6 ,4 ,0 ,0 ,1 ,1 
01051083, Odderade,12 ,0 ,2 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
01051084, Oesterdeichstrich,10 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
01051085, Offenbüttel,7 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051086, Osterrade,16 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051087, Ostrohe,25 ,1 ,4 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051088, Pahlen,48 ,2 ,5 ,12 ,7 ,1 ,0 ,0 ,1 ,1 ,13 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,36 ,1 ,3 ,9 ,5 ,1 ,0 ,0 ,1 ,1 
01051089, Quickborn,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051090, Ramhusen,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051092, Rehm-Flehde-Bargen,23 ,1 ,2 ,7 ,4 ,1 ,0 ,0 ,1 ,1 ,10 ,1 ,2 ,2 ,2 ,1 ,0 ,0 ,1 ,1 ,12 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051093, Reinsbüttel,13 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051096, Sankt Annen,10 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051097, Sankt Michaelisdonn,111 ,2 ,19 ,26 ,16 ,7 ,0 ,2 ,1 ,0 ,38 ,1 ,7 ,13 ,10 ,2 ,0 ,1 ,0 ,0 ,73 ,1 ,12 ,13 ,6 ,5 ,0 ,1 ,1 ,0 
01051098, Sarzbüttel,18 ,0 ,2 ,8 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,1 ,0 ,0 ,0 ,0 ,0 
01051099, Schafstedt,36 ,1 ,3 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,22 ,1 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051100, Schalkholz,18 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051102, Schlichting,8 ,0 ,3 ,2 ,0 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,1 ,0 ,1 ,0 ,0 ,1 ,0 
01051103, Schmedeswurth,10 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051104, Schrum,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051105, Schülp,19 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051107, Stelle-Wittenwurth,16 ,0 ,2 ,7 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051108, Strübbel,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051109, Süderdeich,21 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
