,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
07336065, Nerzweiler,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336066, Neunkirchen am Potzberg,17 ,1 ,2 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336067, Niederalben,11 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336068, Niederstaufenbach,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336069, Nußbach,20 ,0 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
07336070, Oberalben,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336071, Oberstaufenbach,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336072, Oberweiler im Tal,7 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336073, Oberweiler-Tiefenbach,12 ,1 ,2 ,4 ,4 ,2 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
07336074, Odenbach,39 ,1 ,4 ,16 ,10 ,2 ,0 ,0 ,1 ,1 ,17 ,0 ,2 ,8 ,5 ,1 ,0 ,0 ,0 ,0 ,22 ,1 ,2 ,8 ,4 ,1 ,0 ,0 ,1 ,1 
07336075, Offenbach-Hundheim,51 ,1 ,4 ,13 ,11 ,6 ,0 ,0 ,0 ,0 ,17 ,0 ,3 ,10 ,9 ,0 ,0 ,0 ,0 ,0 ,34 ,1 ,1 ,3 ,2 ,6 ,0 ,0 ,0 ,0 
07336076, Ohmbach,11 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336077, Pfeffelbach,18 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336079, Rammelsbach,46 ,1 ,5 ,17 ,14 ,1 ,0 ,0 ,0 ,0 ,23 ,0 ,2 ,10 ,9 ,1 ,0 ,0 ,0 ,0 ,23 ,1 ,3 ,7 ,5 ,0 ,0 ,0 ,0 ,0 
07336081, Rathsweiler,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07336082, Rehweiler,12 ,0 ,1 ,4 ,1 ,2 ,0 ,0 ,2 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,4 ,1 ,2 ,0 ,0 ,2 ,0 
07336084, Reichweiler,11 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336085, Reipoltskirchen,11 ,0 ,1 ,4 ,2 ,1 ,0 ,0 ,1 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 
07336086, Relsberg,6 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07336087, Rothselberg,15 ,0 ,4 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,3 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336088, Ruthweiler,9 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,1 ,0 ,6 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336089, Rutsweiler am Glan,7 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07336090, Rutsweiler an der Lauter,15 ,0 ,1 ,7 ,6 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07336091, Schellweiler,11 ,0 ,2 ,6 ,5 ,1 ,0 ,0 ,1 ,0 ,9 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 
07336092, Schönenberg-Kübelberg,140 ,2 ,16 ,58 ,44 ,6 ,0 ,0 ,2 ,1 ,90 ,2 ,14 ,46 ,38 ,3 ,0 ,0 ,1 ,1 ,50 ,0 ,2 ,12 ,6 ,4 ,0 ,0 ,1 ,0 
07336094, Selchenbach,7 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336095, Sankt Julian,32 ,1 ,4 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,18 ,1 ,4 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
07336096, Steinbach am Glan,14 ,1 ,3 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336097, Thallichtenberg,13 ,0 ,1 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07336098, Theisbergstegen,15 ,0 ,2 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336099, Ulmet,19 ,1 ,4 ,4 ,4 ,2 ,0 ,0 ,1 ,1 ,10 ,0 ,2 ,3 ,3 ,1 ,0 ,0 ,1 ,1 ,9 ,0 ,2 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07336100, Unterjeckenbach,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336101, Wahnwegen,12 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336102, Waldmohr,126 ,3 ,15 ,52 ,37 ,7 ,0 ,0 ,0 ,0 ,79 ,1 ,11 ,35 ,27 ,4 ,0 ,0 ,0 ,0 ,47 ,2 ,4 ,17 ,10 ,3 ,0 ,0 ,0 ,0 
07336103, Welchweiler,9 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336104, Wiesweiler,12 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336105," Wolfstein, Stadt",70 ,2 ,12 ,24 ,17 ,6 ,1 ,1 ,3 ,2 ,30 ,1 ,7 ,14 ,10 ,4 ,0 ,0 ,2 ,2 ,40 ,1 ,5 ,11 ,7 ,2 ,1 ,1 ,2 ,1 
07336106, Bedesbach,20 ,0 ,0 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
07336107, Matzenbach,18 ,1 ,2 ,8 ,7 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336501, Quirnbach/ Pfalz,7 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337, Südliche Weinstraße,"2,386 ",46 ,258 ,846 ,538 ,264 ,6 ,26 ,56 ,34 ,"1,224 ",22 ,166 ,532 ,370 ,87 ,2 ,12 ,22 ,14 ,"1,162 ",24 ,91 ,313 ,168 ,177 ,5 ,14 ,34 ,20 
07337001, Albersweiler,48 ,1 ,8 ,12 ,8 ,2 ,0 ,1 ,1 ,1 ,22 ,0 ,4 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,26 ,0 ,4 ,5 ,2 ,2 ,0 ,1 ,1 ,1 
07337002, Altdorf,17 ,1 ,3 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,14 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
07337005," Bad Bergzabern, Stadt",350 ,8 ,33 ,138 ,83 ,54 ,2 ,6 ,12 ,9 ,106 ,2 ,14 ,48 ,32 ,8 ,0 ,2 ,2 ,2 ,244 ,6 ,20 ,91 ,51 ,46 ,2 ,4 ,11 ,8 
07337006, Barbelroth,7 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337007, Billigheim-Ingenheim,91 ,2 ,10 ,28 ,16 ,6 ,0 ,0 ,0 ,0 ,44 ,1 ,8 ,18 ,11 ,1 ,0 ,0 ,0 ,0 ,47 ,1 ,3 ,10 ,5 ,5 ,0 ,0 ,0 ,0 
07337008, Birkenhördt,12 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
07337009, Birkweiler,14 ,1 ,2 ,6 ,4 ,1 ,0 ,0 ,1 ,1 ,9 ,1 ,2 ,5 ,4 ,1 ,0 ,0 ,1 ,1 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07337011, Böbingen,9 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337012, Böchingen,18 ,0 ,3 ,8 ,5 ,1 ,0 ,0 ,1 ,1 ,12 ,0 ,3 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337013, Böllenborn,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337014, Bornheim,21 ,0 ,2 ,6 ,3 ,3 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
07337015, Burrweiler,16 ,0 ,0 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337017, Dernbach,12 ,0 ,0 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
07337018, Dierbach,9 ,0 ,0 ,6 ,5 ,1 ,0 ,0 ,1 ,1 ,4 ,0 ,0 ,4 ,4 ,1 ,0 ,0 ,1 ,1 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07337019, Dörrenbach,22 ,0 ,3 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,3 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
07337020," Edenkoben, Stadt",201 ,4 ,21 ,58 ,32 ,49 ,2 ,7 ,8 ,3 ,84 ,3 ,14 ,31 ,21 ,17 ,1 ,4 ,4 ,2 ,116 ,1 ,7 ,27 ,11 ,32 ,0 ,2 ,4 ,1 
07337021, Edesheim,35 ,0 ,2 ,13 ,6 ,3 ,0 ,0 ,1 ,0 ,20 ,0 ,2 ,7 ,4 ,2 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,5 ,2 ,1 ,0 ,0 ,0 ,0 
07337022, Eschbach,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337023, Essingen,35 ,0 ,3 ,10 ,7 ,2 ,0 ,0 ,0 ,0 ,20 ,0 ,2 ,9 ,6 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,1 ,1 ,2 ,0 ,0 ,0 ,0 
07337024, Eußerthal,19 ,1 ,2 ,5 ,3 ,2 ,0 ,0 ,0 ,0 ,9 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,0 ,0 
07337025, Flemlingen,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337026, Frankweiler,10 ,0 ,1 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07337027, Freimersheim (Pfalz),15 ,1 ,3 ,8 ,4 ,2 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
07337028, Gleisweiler,12 ,0 ,1 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337029, Gleiszellen-Gleishorbach,13 ,0 ,0 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07337031, Göcklingen,14 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
07337032, Gommersheim,30 ,0 ,3 ,14 ,10 ,1 ,0 ,0 ,0 ,0 ,20 ,0 ,2 ,11 ,8 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07337033, Gossersweiler-Stein,25 ,0 ,3 ,10 ,6 ,2 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
07337035, Großfischlingen,9 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337036, Hainfeld,10 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
07337037, Hergersweiler,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337038, Herxheim bei Landau/ Pfalz,215 ,2 ,25 ,69 ,40 ,25 ,0 ,1 ,7 ,4 ,122 ,1 ,18 ,46 ,30 ,11 ,0 ,1 ,3 ,1 ,93 ,1 ,6 ,23 ,10 ,14 ,0 ,0 ,4 ,3 
07337039, Herxheimweyher,14 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337040, Heuchelheim-Klingen,14 ,0 ,2 ,5 ,4 ,2 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07337041, Hochstadt (Pfalz),42 ,1 ,3 ,16 ,11 ,4 ,0 ,0 ,1 ,1 ,28 ,0 ,2 ,13 ,10 ,3 ,0 ,0 ,1 ,1 ,14 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
07337042, Ilbesheim bei Landau (Pfalz),24 ,1 ,2 ,9 ,5 ,2 ,0 ,0 ,1 ,0 ,13 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,2 ,3 ,1 ,2 ,0 ,0 ,1 ,0 
07337043, Impflingen,12 ,0 ,2 ,4 ,4 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
07337044, Insheim,42 ,1 ,4 ,15 ,9 ,3 ,0 ,1 ,0 ,0 ,28 ,1 ,3 ,12 ,8 ,2 ,0 ,1 ,0 ,0 ,14 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
07337045, Kapellen-Drusweiler,20 ,0 ,2 ,8 ,6 ,1 ,0 ,0 ,1 ,0 ,15 ,0 ,2 ,5 ,3 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07337046, Kapsweyer,17 ,0 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337047, Kirrweiler (Pfalz),28 ,0 ,5 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,20 ,0 ,4 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07337048, Kleinfischlingen,7 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337049, Klingenmünster,28 ,0 ,2 ,12 ,9 ,4 ,0 ,1 ,2 ,2 ,16 ,0 ,2 ,8 ,5 ,2 ,0 ,1 ,1 ,1 ,12 ,0 ,1 ,5 ,4 ,2 ,0 ,0 ,1 ,1 
07337050, Knöringen,10 ,0 ,1 ,7 ,6 ,1 ,0 ,0 ,1 ,0 ,8 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,1 ,0 
07337051, Leinsweiler,4 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337052, Maikammer,72 ,3 ,10 ,22 ,15 ,10 ,0 ,1 ,2 ,2 ,39 ,1 ,7 ,13 ,8 ,3 ,0 ,0 ,1 ,1 ,32 ,1 ,3 ,9 ,7 ,8 ,0 ,1 ,1 ,1 
07337054, Münchweiler am Klingbach,7 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337055, Niederhorbach,6 ,0 ,2 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07337056, Niederotterbach,7 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337058, Oberhausen,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337059, Oberotterbach,27 ,1 ,5 ,9 ,5 ,5 ,0 ,3 ,0 ,0 ,17 ,0 ,1 ,7 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,3 ,2 ,1 ,5 ,0 ,3 ,0 ,0 
07337060, Oberschlettenbach,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337061, Offenbach an der Queich,123 ,2 ,12 ,44 ,33 ,7 ,0 ,0 ,2 ,1 ,65 ,0 ,9 ,31 ,26 ,3 ,0 ,0 ,0 ,0 ,57 ,1 ,4 ,14 ,7 ,5 ,0 ,0 ,1 ,0 
07337062, Pleisweiler-Oberhofen,13 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07337064, Ramberg,22 ,0 ,2 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337065, Ranschbach,12 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07337066, Rhodt unter Rietburg,12 ,0 ,1 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
07337067, Rinnthal,15 ,0 ,1 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,4 ,4 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337068, Rohrbach,42 ,0 ,4 ,14 ,11 ,5 ,0 ,1 ,0 ,0 ,22 ,0 ,2 ,11 ,9 ,2 ,0 ,1 ,0 ,0 ,20 ,0 ,1 ,3 ,2 ,3 ,0 ,0 ,0 ,0 
