,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051022, Dingen,18 ,1 ,4 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051023, Dörpling,15 ,0 ,3 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
01051024, Eddelak,45 ,1 ,4 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,31 ,1 ,2 ,6 ,2 ,1 ,0 ,0 ,0 ,0 
01051026, Eggstedt,30 ,1 ,3 ,7 ,4 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,4 ,1 ,2 ,0 ,0 ,0 ,0 
01051027, Elpersbüttel,23 ,1 ,3 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,11 ,1 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 
01051028, Epenwöhrden,23 ,0 ,2 ,9 ,5 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,5 ,2 ,1 ,0 ,0 ,0 ,0 
01051030, Fedderingen,7 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051032, Frestedt,9 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051033, Friedrichsgabekoog,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051034, Friedrichskoog,74 ,1 ,6 ,28 ,18 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,3 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,44 ,1 ,2 ,16 ,9 ,0 ,0 ,0 ,0 ,0 
