,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2015
Bestand an Arbeitslosen nach Rechtskreisen - Insgesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder, Regierungsbezirke, Kreise und Gemeinden in Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahreszahlen/-durchschnitte 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Rechtskreise SGB III und SGB II,,,,,,,,,, Rechtskreis SGB III,,,,,,,,,, Rechtskreis SGB II,,,,,,,,,
,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
 65 Jahre",,15 bis unter 20 Jahre,15 bis unter 25 Jahre,"50 Jahre 
und älter","55 bis unter
01051067,Lieth,12 ,0 ,1 ,5 ,5 ,0 ,,,,,7 ,0 ,1 ,4 ,4 ,0 ,,,,,4 ,,0 ,1 ,1 ,,,,,
01051068,Linden,18 ,,1 ,4 ,3 ,1 ,,,,,7 ,,1 ,3 ,2 ,,,,,,11 ,,0 ,1 ,1 ,1 ,,,,
01051069,Lohe-Rickelshof,47 ,1 ,3 ,13 ,10 ,1 ,0 ,0 ,,,18 ,,1 ,7 ,6 ,0 ,,,,,29 ,1 ,2 ,6 ,4 ,1 ,0 ,0 ,,
01051071,Lunden,112 ,4 ,18 ,29 ,17 ,8 ,0 ,4 ,,,18 ,1 ,3 ,6 ,4 ,0 ,0 ,0 ,,,94 ,3 ,15 ,23 ,12 ,7 ,,4 ,,
01051072,"Marne, Stadt",203 ,4 ,27 ,54 ,33 ,14 ,0 ,1 ,2 ,1 ,44 ,0 ,5 ,21 ,16 ,3 ,,0 ,0 ,0 ,159 ,4 ,21 ,33 ,17 ,11 ,0 ,1 ,2 ,1 
01051073,Marnerdeich,15 ,1 ,3 ,5 ,3 ,1 ,,0 ,0 ,0 ,4 ,0 ,1 ,3 ,2 ,,,,,,11 ,1 ,2 ,2 ,1 ,1 ,,0 ,0 ,0 
01051074,"Meldorf, Stadt",330 ,7 ,41 ,100 ,50 ,28 ,0 ,2 ,7 ,5 ,72 ,0 ,9 ,33 ,20 ,2 ,,0 ,1 ,1 ,258 ,6 ,32 ,66 ,29 ,25 ,0 ,2 ,6 ,4 
01051075,Neuenkirchen,37 ,1 ,5 ,11 ,6 ,3 ,,0 ,0 ,0 ,13 ,0 ,2 ,4 ,3 ,0 ,,0 ,,,24 ,1 ,3 ,7 ,3 ,2 ,,0 ,0 ,0 
01051076,Neufeld,16 ,0 ,1 ,6 ,2 ,1 ,,,,,6 ,0 ,1 ,3 ,2 ,1 ,,,,,9 ,,,2 ,0 ,0 ,,,,
01051077,Neufelderkoog,2 ,,0 ,2 ,0 ,,,,,,1 ,,0 ,0 ,,,,,,,1 ,,,1 ,0 ,,,,,
01051078,Nindorf,25 ,,1 ,4 ,2 ,0 ,,,,,11 ,,1 ,3 ,2 ,,,,,,13 ,,0 ,1 ,1 ,0 ,,,,
01051079,Norddeich,16 ,0 ,1 ,8 ,4 ,1 ,,,1 ,1 ,7 ,0 ,1 ,3 ,2 ,,,,,,9 ,,0 ,5 ,2 ,1 ,,,1 ,1 
01051080,Norderheistedt,7 ,,,2 ,1 ,1 ,,,,,1 ,,,,,0 ,,,,,6 ,,,2 ,1 ,1 ,,,,
01051081,Norderwöhrden,3 ,0 ,0 ,1 ,1 ,,,,,,2 ,0 ,0 ,1 ,1 ,,,,,,2 ,,0 ,,,,,,,
01051082,Nordhastedt,76 ,3 ,8 ,19 ,11 ,3 ,,,,,26 ,1 ,3 ,9 ,6 ,0 ,,,,,50 ,2 ,5 ,10 ,4 ,3 ,,,,
01051083,Odderade,12 ,0 ,1 ,2 ,1 ,1 ,,,,,3 ,0 ,1 ,1 ,1 ,,,,,,9 ,0 ,0 ,1 ,,1 ,,,,
01051084,Oesterdeichstrich,16 ,,2 ,5 ,4 ,4 ,,0 ,2 ,1 ,5 ,,1 ,4 ,3 ,1 ,,,1 ,1 ,11 ,,1 ,2 ,1 ,3 ,,0 ,1 ,0 
01051085,Offenbüttel,4 ,,,1 ,1 ,,,,,,1 ,,,1 ,1 ,,,,,,2 ,,,,,,,,,
01051086,Osterrade,15 ,1 ,1 ,4 ,3 ,0 ,,0 ,,,5 ,,,3 ,2 ,,,,,,10 ,1 ,1 ,1 ,1 ,0 ,,0 ,,
01051087,Ostrohe,15 ,,2 ,7 ,6 ,1 ,,0 ,,,9 ,,1 ,4 ,4 ,0 ,,,,,6 ,,1 ,3 ,1 ,0 ,,0 ,,
01051088,Pahlen,41 ,1 ,4 ,16 ,10 ,1 ,,,0 ,,18 ,1 ,3 ,8 ,6 ,0 ,,,,,23 ,1 ,1 ,9 ,4 ,1 ,,,0 ,
01051089,Quickborn,4 ,0 ,1 ,2 ,0 ,0 ,,0 ,,,2 ,0 ,0 ,1 ,0 ,,,,,,2 ,,0 ,1 ,0 ,0 ,,0 ,,
01051090,Ramhusen,1 ,,0 ,0 ,0 ,0 ,,,,,1 ,,0 ,0 ,0 ,,,,,,0 ,,,,,0 ,,,,
01051092,Rehm-Flehde-Bargen,16 ,1 ,3 ,6 ,4 ,1 ,,0 ,,,4 ,,0 ,2 ,1 ,0 ,,,,,12 ,1 ,3 ,4 ,3 ,0 ,,0 ,,
01051093,Reinsbüttel,8 ,0 ,1 ,2 ,1 ,,,,,,6 ,0 ,1 ,1 ,1 ,,,,,,2 ,,,0 ,0 ,,,,,
01051096,Sankt Annen,9 ,1 ,1 ,3 ,2 ,0 ,,,,,4 ,0 ,0 ,0 ,0 ,0 ,,,,,5 ,0 ,0 ,2 ,2 ,,,,,
01051097,Sankt Michaelisdonn,108 ,6 ,15 ,29 ,19 ,6 ,0 ,1 ,0 ,0 ,34 ,0 ,5 ,16 ,13 ,0 ,,,,,73 ,5 ,10 ,13 ,6 ,6 ,0 ,1 ,0 ,0 
01051098,Sarzbüttel,20 ,1 ,3 ,10 ,7 ,,,,,,9 ,0 ,1 ,3 ,1 ,,,,,,11 ,0 ,2 ,6 ,5 ,,,,,
01051099,Schafstedt,24 ,1 ,3 ,6 ,4 ,,,,,,11 ,1 ,2 ,3 ,2 ,,,,,,13 ,,1 ,3 ,2 ,,,,,
01051100,Schalkholz,20 ,2 ,4 ,6 ,2 ,0 ,,,,,8 ,0 ,2 ,4 ,2 ,0 ,,,,,12 ,2 ,2 ,2 ,1 ,,,,,
01051102,Schlichting,8 ,,2 ,2 ,2 ,2 ,,1 ,1 ,1 ,3 ,,1 ,1 ,1 ,,,,,,5 ,,1 ,1 ,1 ,2 ,,1 ,1 ,1 
01051103,Schmedeswurth,5 ,,1 ,1 ,0 ,0 ,,,,,1 ,,1 ,0 ,0 ,,,,,,4 ,,,0 ,,0 ,,,,
01051104,Schrum,1 ,,,,,,,,,,0 ,,,,,,,,,,1 ,,,,,,,,,
01051105,Schülp,15 ,1 ,2 ,6 ,4 ,0 ,,,,,8 ,0 ,1 ,4 ,3 ,0 ,,,,,7 ,0 ,1 ,3 ,1 ,,,,,
01051107,Stelle-Wittenwurth,11 ,1 ,3 ,4 ,4 ,,,,,,2 ,1 ,1 ,1 ,0 ,,,,,,9 ,,2 ,3 ,3 ,,,,,
01051108,Strübbel,2 ,,,1 ,1 ,0 ,,,,,2 ,,,1 ,1 ,,,,,,0 ,,,,,0 ,,,,
01051109,Süderdeich,24 ,0 ,3 ,5 ,2 ,1 ,,0 ,0 ,,6 ,0 ,0 ,2 ,1 ,,,,,,18 ,0 ,3 ,3 ,0 ,1 ,,0 ,0 ,
01051110,Süderhastedt,22 ,1 ,3 ,8 ,7 ,,,,,,10 ,0 ,1 ,5 ,5 ,,,,,,12 ,1 ,2 ,3 ,2 ,,,,,
01051113,Wöhrden,35 ,1 ,3 ,16 ,10 ,1 ,0 ,0 ,0 ,0 ,18 ,,1 ,9 ,6 ,1 ,,,0 ,0 ,17 ,1 ,1 ,7 ,4 ,1 ,0 ,0 ,,
01051114,Tellingstedt,75 ,3 ,10 ,25 ,16 ,4 ,0 ,0 ,0 ,0 ,29 ,2 ,6 ,10 ,8 ,1 ,0 ,0 ,,,46 ,2 ,3 ,16 ,9 ,2 ,,0 ,0 ,0 
01051117,Tielenhemme,5 ,0 ,1 ,2 ,1 ,,,,,,1 ,0 ,1 ,0 ,0 ,,,,,,3 ,,,1 ,1 ,,,,,
01051118,Trennewurth,6 ,0 ,0 ,1 ,1 ,0 ,,,,,3 ,0 ,0 ,1 ,1 ,0 ,,,,,3 ,,,,,,,,,
01051119,Volsemenhusen,8 ,,0 ,3 ,3 ,0 ,,,,,4 ,,0 ,3 ,2 ,,,,,,3 ,,0 ,0 ,0 ,0 ,,,,
01051120,Wallen,0 ,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,
01051121,Warwerort,7 ,,0 ,5 ,5 ,,,,,,5 ,,,4 ,4 ,,,,,,2 ,,0 ,1 ,1 ,,,,,
01051122,Weddingstedt,47 ,2 ,6 ,8 ,3 ,0 ,,0 ,,,21 ,0 ,3 ,6 ,2 ,0 ,,0 ,,,26 ,1 ,3 ,2 ,1 ,0 ,,,,
01051125,Welmbüttel,21 ,1 ,2 ,9 ,4 ,3 ,0 ,0 ,,,7 ,0 ,1 ,2 ,0 ,1 ,,0 ,,,14 ,1 ,1 ,7 ,3 ,2 ,0 ,0 ,,
01051126,Wennbüttel,1 ,,0 ,1 ,0 ,,,,,,1 ,,0 ,1 ,,,,,,,0 ,,,0 ,0 ,,,,,
01051127,"Wesselburen, Stadt",142 ,6 ,24 ,36 ,18 ,20 ,0 ,2 ,4 ,2 ,39 ,1 ,6 ,14 ,9 ,3 ,,0 ,1 ,1 ,103 ,4 ,18 ,21 ,9 ,17 ,0 ,2 ,3 ,1 
01051128,Wesselburener Deichhausen,2 ,0 ,0 ,2 ,0 ,,,,,,1 ,,,1 ,0 ,,,,,,2 ,0 ,0 ,1 ,,,,,,
