,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden     Jahreszahlen 2012
01051006, Barlt,27 ,1 ,3 ,7 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051008, Bergewöhrden,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051010, Brickeln,5 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051011," Brunsbüttel, Stadt",561 ,17 ,69 ,139 ,75 ,34 ,1 ,2 ,6 ,3 ,120 ,3 ,20 ,47 ,34 ,4 ,0 ,0 ,1 ,1 ,441 ,14 ,49 ,92 ,41 ,30 ,1 ,1 ,5 ,2 
01051012, Buchholz,26 ,0 ,4 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051013, Büsum,193 ,3 ,18 ,68 ,40 ,15 ,1 ,1 ,6 ,4 ,90 ,1 ,10 ,39 ,28 ,9 ,0 ,0 ,4 ,4 ,103 ,2 ,8 ,29 ,11 ,6 ,1 ,1 ,2 ,1 
01051014, Büsumer Deichhausen,14 ,0 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051015, Bunsoh,25 ,1 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051016, Burg (Dithmarschen),202 ,10 ,34 ,54 ,31 ,7 ,0 ,0 ,1 ,1 ,41 ,2 ,7 ,19 ,13 ,1 ,0 ,0 ,0 ,0 ,161 ,8 ,27 ,35 ,18 ,6 ,0 ,0 ,1 ,1 
01051017, Busenwurth,10 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051019, Dellstedt,26 ,0 ,4 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,3 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051020, Delve,19 ,1 ,4 ,9 ,5 ,1 ,0 ,0 ,1 ,0 ,12 ,1 ,3 ,7 ,4 ,1 ,0 ,0 ,1 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051021, Diekhusen-Fahrstedt,18 ,0 ,2 ,3 ,1 ,2 ,0 ,1 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 
01051022, Dingen,12 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051023, Dörpling,22 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051024, Eddelak,52 ,1 ,6 ,11 ,6 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,3 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,40 ,1 ,3 ,9 ,4 ,2 ,0 ,0 ,0 ,0 
01051026, Eggstedt,23 ,0 ,3 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051027, Elpersbüttel,26 ,0 ,1 ,7 ,6 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051028, Epenwöhrden,26 ,0 ,3 ,9 ,5 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051030, Fedderingen,9 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051032, Frestedt,11 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051033, Friedrichsgabekoog,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051034, Friedrichskoog,73 ,2 ,5 ,28 ,16 ,1 ,0 ,0 ,0 ,0 ,29 ,0 ,3 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,44 ,1 ,2 ,16 ,8 ,1 ,0 ,0 ,0 ,0 
01051035, Gaushorn,8 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
01051036, Glüsing,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051037, Großenrade,13 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051038, Groven,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051039, Gudendorf,11 ,0 ,2 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
01051043, Hedwigenkoog,7 ,1 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051044," Heide, Stadt","1,233 ",47 ,202 ,309 ,169 ,122 ,3 ,12 ,23 ,11 ,270 ,5 ,42 ,105 ,71 ,16 ,0 ,2 ,4 ,2 ,962 ,42 ,160 ,203 ,98 ,106 ,3 ,10 ,20 ,9 
01051045, Hellschen-Heringsand-Untersch.,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051046, Helse,23 ,1 ,2 ,9 ,6 ,1 ,0 ,0 ,0 ,0 ,11 ,1 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,0 ,0 
01051047, Hemme,22 ,1 ,3 ,6 ,0 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,1 ,2 ,4 ,0 ,1 ,0 ,0 ,0 ,0 
01051048, Hemmingstedt,102 ,2 ,12 ,31 ,21 ,3 ,0 ,0 ,1 ,0 ,40 ,1 ,6 ,16 ,12 ,0 ,0 ,0 ,0 ,0 ,63 ,1 ,6 ,15 ,9 ,2 ,0 ,0 ,1 ,0 
01051049, Hennstedt,61 ,3 ,8 ,15 ,12 ,1 ,0 ,0 ,0 ,0 ,23 ,1 ,3 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,38 ,2 ,5 ,8 ,6 ,0 ,0 ,0 ,0 ,0 
01051050, Hillgroven,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051051, Hochdonn,28 ,2 ,4 ,6 ,2 ,2 ,0 ,0 ,1 ,0 ,10 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,1 ,3 ,3 ,1 ,2 ,0 ,0 ,1 ,0 
01051052, Hövede,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051053, Hollingstedt,10 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051054, Immenstedt,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051057, Kaiser-Wilhelm-Koog,9 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051058, Karolinenkoog,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051060, Kleve,7 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051061, Krempel,27 ,0 ,2 ,13 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,8 ,2 ,0 ,0 ,0 ,0 ,0 
01051062, Kronprinzenkoog,23 ,1 ,2 ,8 ,5 ,1 ,0 ,0 ,1 ,1 ,7 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,4 ,2 ,1 ,0 ,0 ,1 ,1 
01051063, Krumstedt,10 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051064, Kuden,14 ,1 ,3 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051065, Lehe,40 ,1 ,3 ,17 ,11 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,1 ,9 ,5 ,1 ,0 ,0 ,0 ,0 
01051067, Lieth,9 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051068, Linden,20 ,0 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051069, Lohe-Rickelshof,54 ,0 ,4 ,15 ,12 ,2 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,36 ,0 ,2 ,9 ,7 ,2 ,0 ,0 ,0 ,0 
01051071, Lunden,118 ,6 ,19 ,31 ,14 ,2 ,0 ,1 ,0 ,0 ,23 ,1 ,4 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,95 ,5 ,15 ,24 ,10 ,2 ,0 ,0 ,0 ,0 
01051072," Marne, Stadt",250 ,6 ,26 ,65 ,36 ,6 ,0 ,0 ,0 ,0 ,62 ,1 ,7 ,30 ,21 ,1 ,0 ,0 ,0 ,0 ,188 ,4 ,19 ,36 ,16 ,6 ,0 ,0 ,0 ,0 
01051073, Marnerdeich,14 ,1 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051074," Meldorf, Stadt",321 ,12 ,47 ,77 ,39 ,24 ,0 ,1 ,4 ,2 ,65 ,1 ,8 ,26 ,17 ,1 ,0 ,0 ,0 ,0 ,256 ,11 ,39 ,50 ,22 ,22 ,0 ,1 ,4 ,2 
01051075, Neuenkirchen,37 ,2 ,5 ,16 ,12 ,0 ,0 ,0 ,0 ,0 ,20 ,1 ,3 ,9 ,7 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,7 ,5 ,0 ,0 ,0 ,0 ,0 
01051076, Neufeld,21 ,1 ,3 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 
01051077, Neufelderkoog,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051078, Nindorf,22 ,1 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
01051079, Norddeich,13 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051080, Norderheistedt,10 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051081, Norderwöhrden,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051082, Nordhastedt,75 ,1 ,7 ,19 ,14 ,4 ,0 ,0 ,2 ,2 ,31 ,0 ,4 ,11 ,9 ,1 ,0 ,0 ,1 ,1 ,44 ,1 ,4 ,8 ,5 ,4 ,0 ,0 ,1 ,1 
01051083, Odderade,10 ,0 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051084, Oesterdeichstrich,6 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051085, Offenbüttel,6 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051086, Osterrade,14 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
01051087, Ostrohe,22 ,0 ,2 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051088, Pahlen,47 ,2 ,8 ,17 ,10 ,1 ,0 ,0 ,0 ,0 ,18 ,0 ,4 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,29 ,2 ,4 ,10 ,5 ,0 ,0 ,0 ,0 ,0 
01051089, Quickborn,4 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051090, Ramhusen,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051092, Rehm-Flehde-Bargen,20 ,0 ,1 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
01051093, Reinsbüttel,8 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051096, Sankt Annen,11 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051097, Sankt Michaelisdonn,108 ,3 ,16 ,26 ,16 ,4 ,0 ,0 ,0 ,0 ,31 ,1 ,5 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,77 ,2 ,11 ,13 ,6 ,3 ,0 ,0 ,0 ,0 
01051098, Sarzbüttel,18 ,0 ,1 ,9 ,4 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,7 ,3 ,1 ,0 ,0 ,1 ,0 
01051099, Schafstedt,29 ,0 ,4 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
01051100, Schalkholz,20 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051102, Schlichting,10 ,0 ,1 ,4 ,2 ,1 ,0 ,0 ,1 ,0 ,4 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,1 ,0 
01051103, Schmedeswurth,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051104, Schrum,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051105, Schülp,17 ,0 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051107, Stelle-Wittenwurth,18 ,1 ,2 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 
01051108, Strübbel,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051109, Süderdeich,24 ,0 ,1 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
