,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
01051006, Barlt,24 ,1 ,4 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,11 ,1 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
01051008, Bergewöhrden,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051010, Brickeln,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051011," Brunsbüttel, Stadt",570 ,18 ,72 ,160 ,85 ,33 ,0 ,1 ,7 ,4 ,132 ,2 ,16 ,56 ,42 ,3 ,0 ,0 ,1 ,1 ,437 ,17 ,56 ,104 ,43 ,30 ,0 ,1 ,6 ,3 
01051012, Buchholz,27 ,0 ,3 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051013, Büsum,215 ,4 ,22 ,73 ,43 ,18 ,0 ,1 ,6 ,4 ,102 ,2 ,10 ,43 ,32 ,10 ,0 ,0 ,5 ,4 ,112 ,3 ,11 ,30 ,11 ,8 ,0 ,1 ,1 ,0 
01051014, Büsumer Deichhausen,14 ,0 ,2 ,7 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
01051015, Bunsoh,22 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051016, Burg (Dithmarschen),188 ,5 ,27 ,48 ,26 ,8 ,0 ,0 ,2 ,2 ,40 ,0 ,7 ,17 ,12 ,1 ,0 ,0 ,1 ,1 ,148 ,4 ,20 ,31 ,15 ,7 ,0 ,0 ,2 ,1 
01051017, Busenwurth,11 ,0 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051019, Dellstedt,36 ,1 ,3 ,8 ,7 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,27 ,1 ,3 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
01051020, Delve,16 ,0 ,1 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051021, Diekhusen-Fahrstedt,20 ,1 ,4 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,12 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051022, Dingen,17 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051023, Dörpling,20 ,0 ,3 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051024, Eddelak,54 ,3 ,10 ,10 ,4 ,2 ,0 ,0 ,0 ,0 ,14 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,40 ,3 ,7 ,7 ,4 ,2 ,0 ,0 ,0 ,0 
01051026, Eggstedt,24 ,1 ,4 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051027, Elpersbüttel,26 ,0 ,2 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
01051028, Epenwöhrden,27 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051030, Fedderingen,8 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051032, Frestedt,9 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051033, Friedrichsgabekoog,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051034, Friedrichskoog,86 ,2 ,9 ,33 ,24 ,2 ,0 ,0 ,0 ,0 ,40 ,2 ,6 ,17 ,13 ,0 ,0 ,0 ,0 ,0 ,46 ,0 ,4 ,16 ,11 ,1 ,0 ,0 ,0 ,0 
01051035, Gaushorn,8 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
01051036, Glüsing,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051037, Großenrade,13 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051038, Groven,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051039, Gudendorf,9 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051043, Hedwigenkoog,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051044," Heide, Stadt","1,271 ",56 ,220 ,282 ,144 ,120 ,7 ,18 ,20 ,9 ,246 ,6 ,47 ,82 ,52 ,14 ,0 ,2 ,2 ,1 ,"1,025 ",50 ,173 ,200 ,91 ,105 ,7 ,17 ,17 ,8 
01051045, Hellschen-Heringsand-Untersch.,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051046, Helse,17 ,1 ,2 ,5 ,2 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,1 ,0 
01051047, Hemme,21 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
01051048, Hemmingstedt,104 ,2 ,12 ,31 ,18 ,4 ,0 ,0 ,1 ,0 ,43 ,0 ,6 ,18 ,12 ,1 ,0 ,0 ,0 ,0 ,61 ,2 ,6 ,13 ,6 ,3 ,0 ,0 ,1 ,0 
01051049, Hennstedt,72 ,3 ,8 ,15 ,11 ,0 ,0 ,0 ,0 ,0 ,24 ,1 ,4 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,48 ,2 ,4 ,8 ,6 ,0 ,0 ,0 ,0 ,0 
01051050, Hillgroven,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051051, Hochdonn,28 ,1 ,2 ,7 ,5 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
01051052, Hövede,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051053, Hollingstedt,11 ,1 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051054, Immenstedt,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051057, Kaiser-Wilhelm-Koog,9 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051058, Karolinenkoog,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051060, Kleve,7 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051061, Krempel,30 ,1 ,4 ,10 ,6 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,19 ,1 ,3 ,6 ,3 ,0 ,0 ,0 ,0 ,0 
01051062, Kronprinzenkoog,22 ,0 ,1 ,8 ,4 ,1 ,0 ,0 ,1 ,1 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,5 ,2 ,1 ,0 ,0 ,1 ,1 
01051063, Krumstedt,8 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051064, Kuden,12 ,1 ,3 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051065, Lehe,40 ,1 ,4 ,14 ,9 ,0 ,0 ,0 ,0 ,0 ,19 ,1 ,3 ,10 ,7 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
01051067, Lieth,9 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051068, Linden,26 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051069, Lohe-Rickelshof,57 ,1 ,6 ,14 ,11 ,2 ,0 ,0 ,0 ,0 ,19 ,1 ,3 ,8 ,7 ,0 ,0 ,0 ,0 ,0 ,38 ,0 ,3 ,6 ,4 ,2 ,0 ,0 ,0 ,0 
01051071, Lunden,123 ,6 ,22 ,24 ,10 ,2 ,0 ,1 ,0 ,0 ,16 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,107 ,6 ,19 ,20 ,8 ,2 ,0 ,1 ,0 ,0 
01051072," Marne, Stadt",270 ,7 ,40 ,67 ,38 ,10 ,0 ,0 ,0 ,0 ,60 ,1 ,10 ,23 ,17 ,1 ,0 ,0 ,0 ,0 ,209 ,6 ,30 ,44 ,21 ,8 ,0 ,0 ,0 ,0 
01051073, Marnerdeich,17 ,1 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051074," Meldorf, Stadt",325 ,9 ,38 ,76 ,42 ,21 ,0 ,1 ,4 ,2 ,80 ,1 ,9 ,35 ,24 ,3 ,0 ,0 ,1 ,1 ,245 ,8 ,29 ,42 ,18 ,18 ,0 ,1 ,3 ,1 
01051075, Neuenkirchen,34 ,1 ,3 ,13 ,6 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,18 ,1 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051076, Neufeld,19 ,0 ,2 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
01051077, Neufelderkoog,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051078, Nindorf,20 ,1 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
01051079, Norddeich,15 ,1 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051080, Norderheistedt,7 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051081, Norderwöhrden,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051082, Nordhastedt,88 ,2 ,10 ,16 ,10 ,6 ,0 ,0 ,2 ,2 ,32 ,1 ,4 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,56 ,2 ,6 ,8 ,4 ,4 ,0 ,0 ,2 ,2 
01051083, Odderade,9 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051084, Oesterdeichstrich,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051085, Offenbüttel,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051086, Osterrade,14 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051087, Ostrohe,29 ,1 ,4 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051088, Pahlen,50 ,1 ,6 ,16 ,10 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,34 ,1 ,3 ,11 ,5 ,0 ,0 ,0 ,0 ,0 
01051089, Quickborn,4 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051090, Ramhusen,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051092, Rehm-Flehde-Bargen,20 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051093, Reinsbüttel,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051096, Sankt Annen,11 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051097, Sankt Michaelisdonn,123 ,2 ,16 ,33 ,20 ,6 ,0 ,1 ,1 ,0 ,39 ,0 ,6 ,14 ,12 ,1 ,0 ,0 ,0 ,0 ,83 ,1 ,10 ,19 ,8 ,5 ,0 ,0 ,1 ,0 
01051098, Sarzbüttel,18 ,0 ,1 ,8 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,6 ,2 ,0 ,0 ,0 ,0 ,0 
01051099, Schafstedt,37 ,0 ,2 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051100, Schalkholz,17 ,0 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051102, Schlichting,9 ,0 ,2 ,4 ,1 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,1 ,0 
01051103, Schmedeswurth,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051104, Schrum,3 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051105, Schülp,16 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051107, Stelle-Wittenwurth,20 ,2 ,3 ,8 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,12 ,2 ,3 ,5 ,1 ,0 ,0 ,0 ,0 ,0 
01051108, Strübbel,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051109, Süderdeich,27 ,0 ,2 ,7 ,5 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 
