,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051022, Dingen,20 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051023, Dörpling,25 ,0 ,2 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051024, Eddelak,63 ,5 ,11 ,11 ,7 ,1 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,50 ,5 ,9 ,9 ,5 ,1 ,0 ,0 ,0 ,0 
01051026, Eggstedt,23 ,0 ,4 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,3 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051027, Elpersbüttel,22 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051028, Epenwöhrden,29 ,2 ,6 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,14 ,1 ,3 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,15 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051030, Fedderingen,10 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051032, Frestedt,12 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051033, Friedrichsgabekoog,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051034, Friedrichskoog,98 ,3 ,11 ,34 ,19 ,2 ,0 ,0 ,1 ,0 ,37 ,2 ,7 ,12 ,10 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,4 ,22 ,10 ,2 ,0 ,0 ,1 ,0 
01051035, Gaushorn,8 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051036, Glüsing,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051037, Großenrade,15 ,1 ,3 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
01051038, Groven,4 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051039, Gudendorf,7 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051043, Hedwigenkoog,7 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051044," Heide, Stadt","1,466 ",54 ,244 ,302 ,140 ,149 ,3 ,18 ,23 ,11 ,246 ,5 ,39 ,68 ,37 ,17 ,0 ,2 ,3 ,3 ,"1,220 ",49 ,205 ,234 ,103 ,131 ,3 ,16 ,20 ,8 
01051045, Hellschen-Heringsand-Untersch.,7 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051046, Helse,29 ,3 ,5 ,8 ,2 ,1 ,0 ,0 ,1 ,0 ,10 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,18 ,2 ,2 ,6 ,1 ,1 ,0 ,0 ,1 ,0 
01051047, Hemme,21 ,0 ,2 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
01051048, Hemmingstedt,130 ,3 ,17 ,38 ,21 ,4 ,0 ,0 ,1 ,0 ,58 ,2 ,11 ,23 ,16 ,1 ,0 ,0 ,0 ,0 ,72 ,2 ,6 ,15 ,6 ,3 ,0 ,0 ,0 ,0 
01051049, Hennstedt,85 ,3 ,11 ,20 ,10 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,4 ,11 ,6 ,1 ,0 ,0 ,0 ,0 ,54 ,3 ,7 ,10 ,4 ,0 ,0 ,0 ,0 ,0 
01051050, Hillgroven,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
